Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,DeAndre Hopkins*+\HopkDe00,HOU,WR,25,15,15,174,96,1378,14.35,1,1,13,,,214,309.8,313.8,261.8,103,1,6
2,Antonio Brown*+\BrowAn04,PIT,WR,29,14,14,163,101,1533,15.18,4,0,9,1,,209,310.3,313.3,259.8,98,2,7
3,Keenan Allen*\AlleKe00,LAC,WR,25,16,15,159,102,1393,13.66,1,0,7,,,176,278.2,287.2,233.2,65,3,14
4,Tyreek Hill*\HillTy00,KAN,WR,23,15,13,105,75,1183,15.77,2,0,8,,,170,245.2,249.2,208.7,59,4,15
5,Marvin Jones\JoneMa02,DET,WR,27,16,16,107,61,1101,18.05,0,0,9,,,164,225.1,228.1,194.6,53,5,16
6,Julio Jones*\JoneJu02,ATL,WR,28,16,16,148,88,1444,16.41,0,0,3,,,164,251.9,254.9,207.9,53,6,17
7,Brandin Cooks\CookBr00,NWE,WR,24,16,15,114,65,1082,16.65,0,0,7,1,,156,221.2,224.2,188.7,45,7,22
8,Michael Thomas*\ThomMi05,NOR,WR,24,16,14,149,104,1245,11.97,0,0,5,,,155,258.5,261.5,206.5,44,8,25
9,Larry Fitzgerald*\FitzLa00,ARI,WR,34,16,16,161,109,1156,10.61,1,1,6,1,,152,261.4,265.4,206.9,41,9,26
10,A.J. Green*\GreeA.00,CIN,WR,29,16,16,143,75,1078,14.37,2,2,8,,,152,226.8,231.8,189.3,41,10,27
11,Adam Thielen*\ThieAd00,MIN,WR,27,16,16,142,91,1276,14.02,3,2,4,,,149,239.7,244.7,194.2,38,11,30
12,Davante Adams*\AdamDa01,GNB,WR,25,14,14,117,74,885,11.96,0,0,10,,,149,222.5,225.5,185.5,38,12,31
13,Doug Baldwin*\BaldDo00,SEA,WR,29,16,16,116,75,991,13.21,0,0,8,1,,148,223.3,226.3,185.8,37,13,32
14,Jarvis Landry*\LandJa00,MIA,WR,25,16,16,161,112,987,8.81,4,2,9,,,148,260,265,204,37,14,34
15,JuJu Smith-Schuster\SmitJu00,PIT,WR,21,14,7,79,58,917,15.81,0,0,8,,,140,197.7,200.7,168.7,29,15,37
16,Alshon Jeffery\JeffAl00,PHI,WR,27,16,16,120,57,789,13.84,0,0,9,3,,139,195.9,198.9,167.4,28,16,38
17,Robby Anderson\AndeRo04,NYJ,WR,24,16,15,114,63,941,14.94,0,0,7,,,137,200,203,168.5,26,17,41
18,Stefon Diggs\DiggSt00,MIN,WR,24,14,14,95,64,849,13.27,0,0,8,,,134,198.2,201.2,166.2,23,18,42
