,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Tyreek Hill*+\HillTy00,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17,12,0,0,14,,,247,334,340,290.5,131,1,6
2,Antonio Brown*\BrowAn04,PIT,WR,30,15,15,0,1,0,0,0,0,0,,0,168,104,1297,12.47,15,0,0,15,,,220,323.7,326.7,271.7,103,2,9
3,Davante Adams*\AdamDa01,GNB,WR,26,15,15,0,0,0,0,0,0,0,,0,169,111,1386,12.49,13,0,0,13,1,,219,329.6,332.6,274.1,102,3,10
4,DeAndre Hopkins*+\HopkDe00,HOU,WR,26,16,16,0,1,0,0,0,1,-7,-7,0,163,115,1572,13.67,11,2,2,11,,,219,333.5,338.5,276,102,4,11
5,Julio Jones*\JoneJu02,ATL,WR,29,16,16,0,0,0,0,0,2,12,6,0,170,113,1677,14.84,8,2,2,8,,,213,325.9,330.9,269.4,97,5,12
6,Mike Evans*\EvanMi00,TAM,WR,25,16,16,0,0,0,0,0,0,0,,0,138,86,1524,17.72,8,2,1,9,,,198,284.4,294.4,247.4,82,6,16
7,Adam Thielen*\ThieAd00,MIN,WR,28,16,16,0,0,0,0,0,5,30,6,0,153,113,1373,12.15,9,1,1,9,1,,194,307.3,311.3,250.8,78,7,18
8,Michael Thomas*+\ThomMi05,NOR,WR,25,16,16,0,0,0,0,0,0,0,,0,147,125,1405,11.24,9,2,2,9,,,191,315.5,320.5,253,74,8,19
9,JuJu Smith-Schuster*\SmitJu00,PIT,WR,22,16,13,0,0,0,0,0,1,13,13,0,166,111,1426,12.85,7,1,1,7,1,,186,296.9,300.9,241.4,70,9,22
10,Robert Woods\WoodRo02,LAR,WR,26,16,16,0,0,0,0,0,19,157,8.26,1,130,86,1219,14.17,6,0,0,7,,,180,265.6,271.6,222.6,63,10,25
11,Tyler Lockett\LockTy00,SEA,WR,26,16,14,0,0,0,0,0,13,69,5.31,0,70,57,965,16.93,10,2,0,10,1,,165,222.4,225.4,193.9,49,11,32
12,Stefon Diggs\DiggSt00,MIN,WR,25,15,14,0,0,0,0,0,10,62,6.2,0,149,102,1021,10.01,9,0,0,9,1,,164,266.3,269.3,215.3,48,12,33
13,Brandin Cooks\CookBr00,LAR,WR,25,16,16,0,0,0,0,0,10,68,6.8,1,117,80,1204,15.05,5,1,0,6,,,163,243.2,246.2,203.2,47,13,34
14,Keenan Allen*\AlleKe00,LAC,WR,26,16,14,0,0,0,0,0,9,75,8.33,0,136,97,1196,12.33,6,3,1,6,1,,163,260.1,264.1,211.6,47,14,35
