Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,FantPt,PPR,PosRank,Year
1,Mike Evans*\EvanMi00,TAM,WR,23,16,16,173,96,1321,13.76,12,208,304.1,1,2016
2,Jordy Nelson\NelsJo00,GNB,WR,31,16,16,152,97,1257,12.96,14,208,304.7,2,2016
3,Antonio Brown*+\BrowAn04,PIT,WR,28,15,15,154,106,1284,12.11,12,207,307.3,3,2016
4,Odell Beckham*\BeckOd00,NYG,WR,24,16,16,169,101,1367,13.53,10,196,296.6,4,2016
5,T.Y. Hilton*\HiltT.00,IND,WR,27,16,16,155,91,1448,15.91,6,185,273.8,5,2016
6,Julio Jones*+\JoneJu02,ATL,WR,27,14,14,129,83,1409,16.98,6,179,259.9,6,2016
7,Davante Adams\AdamDa01,GNB,WR,24,16,15,121,75,997,13.29,12,174,246.7,7,2016
8,Brandin Cooks\CookBr00,NOR,WR,23,16,12,117,78,1173,15.04,8,168,246.3,8,2016
9,Michael Thomas\ThomMi05,NOR,WR,23,15,12,121,92,1137,12.36,9,164,255.7,9,2016
10,Doug Baldwin*\BaldDo00,SEA,WR,28,16,15,125,94,1128,12,7,162,253.6,10,2016
11,Michael Crabtree\CrabMi00,OAK,WR,29,16,16,145,89,1003,11.27,8,152,239.3,11,2016
12,Amari Cooper*\CoopAm00,OAK,WR,22,16,14,132,83,1153,13.89,5,151,232.3,12,2016
13,Rishard Matthews\MattRi00,TEN,WR,27,16,10,108,65,945,14.54,9,149,211.5,13,2016
14,Tyrell Williams\WillTy00,SDG,WR,24,16,12,119,69,1059,15.35,7,148,216.9,14,2016
15,Bilal Powell\PoweBi00,NYJ,WR,28,16,4,74,58,388,6.69,5,139,197,15,2016
16,Terrelle Pryor\PryoTe00,CLE,WR,27,16,15,140,77,1007,13.08,5,138,213.4,16,2016
17,Tyreek Hill*+\HillTy00,KAN,WR,22,16,1,83,61,593,9.72,12,138,217,17,2016
18,Jarvis Landry*\LandJa00,MIA,WR,24,16,16,131,94,1136,12.09,4,137,231.3,18,2016
19,Larry Fitzgerald*\FitzLa00,ARI,WR,33,16,16,150,107,1023,9.56,6,137,243.8,19,2016
20,Demaryius Thomas*\ThomDe03,DEN,WR,29,16,16,144,90,1083,12.03,5,136,226.3,20,2016
21,Kelvin Benjamin\BenjKe00,CAR,WR,25,16,13,118,63,941,14.94,7,134,197.1,21,2016
22,Dez Bryant*\BryaDe01,DAL,WR,28,13,13,96,50,796,15.92,8,134,180,22,2016
23,Emmanuel Sanders*\SandEm00,DEN,WR,29,16,16,137,79,1032,13.06,5,134,212.6,23,2016
24,Julian Edelman\EdelJu00,NWE,WR,30,16,13,159,98,1106,11.29,3,132,230.3,24,2016
25,Golden Tate\TateGo00,DET,WR,28,16,16,135,91,1077,11.84,4,132,223.1,25,2016
26,Mike Wallace\WallMi00,BAL,WR,30,16,16,116,72,1017,14.13,4,131,202.8,26,2016
27,Kenny Britt\BritKe00,LAR,WR,28,15,15,111,68,1002,14.74,5,128,196.2,27,2016
28,Kenny Stills\StilKe00,MIA,WR,24,16,16,81,42,726,17.29,9,127,168.6,28,2016
29,Allen Robinson\RobiAl02,JAX,WR,23,16,16,151,73,883,12.1,6,126,199.3,29,2016
30,Adam Thielen\ThieAd00,MIN,WR,26,16,10,92,69,967,14.01,5,126,195.2,30,2016
31,Jamison Crowder\CrowJa00,WAS,WR,23,16,9,99,67,847,12.64,8,125,197.5,32,2016
32,DeSean Jackson\JackDe00,WAS,WR,30,15,15,100,56,1005,17.95,4,125,180.5,31,2016
33,Pierre Garcon\GarcPi00,WAS,WR,30,16,16,114,79,1041,13.18,3,122,201.1,33,2016
34,Brandon LaFell\LaFeBr00,CIN,WR,30,16,14,107,64,862,13.47,6,122,186,34,2016
35,A.J. Green*\GreeA.00,CIN,WR,28,10,10,100,66,964,14.61,4,120,186.4,35,2016
36,Willie Snead\SneaWi00,NOR,WR,24,15,4,104,72,895,12.43,4,120,191.5,36,2016
37,DeAndre Hopkins\HopkDe00,HOU,WR,24,16,16,151,78,954,12.23,4,119,197.4,38,2016
38,Sterling Shepard\ShepSt00,NYG,WR,23,16,16,105,65,683,10.51,8,119,184.4,37,2016
39,Marvin Jones\JoneMa02,DET,WR,26,15,15,103,55,930,16.91,4,117,172.3,39,2016
40,Steve Smith\SmitSt01,BAL,WR,37,14,14,101,70,799,11.41,5,116,183.9,40,2016
41,Cole Beasley\BeasCo00,DAL,WR,27,16,6,98,75,833,11.11,5,114,189,41,2016
42,Cameron Meredith\MereCa00,CHI,WR,24,14,10,97,66,888,13.45,4,113,179.5,42,2016
43,Quincy Enunwa\EnunQu00,NYJ,WR,24,16,13,105,58,857,14.78,4,111,168.9,43,2016
44,Stefon Diggs\DiggSt00,MIN,WR,23,13,11,112,84,903,10.75,3,109,193.3,45,2016
45,Marqise Lee\LeexMa00,JAX,WR,25,16,6,105,63,851,13.51,4,109,178.4,44,2016
46,JJ Nelson\NelsJJ00,ARI,WR,24,15,6,74,34,568,16.71,7,107,139.1,46,2016
47,Anquan Boldin\BoldAn00,DET,WR,36,16,16,95,67,584,8.72,8,106,173.4,47,2016
48,Taylor Gabriel\GabrTa00,ATL,WR,25,13,3,50,35,579,16.54,7,105,140,50,2016
49,Ted Ginn\GinnTe00,CAR,WR,31,16,8,95,54,752,13.93,4,105,159,48,2016
50,Dontrelle Inman\InmaDo00,SDG,WR,27,16,16,97,58,810,13.97,4,105,163,49,2016
51,Jordan Matthews\MattJo00,PHI,WR,24,14,13,117,73,804,11.01,3,102,171.4,52,2016
52,DeVante Parker\ParkDe01,MIA,WR,23,15,8,87,56,744,13.29,4,102,154.4,51,2016
53,Brandon Marshall\MarsBr00,NYJ,WR,32,15,15,128,59,788,13.36,3,97,155.8,53,2016
54,Alshon Jeffery\JeffAl00,CHI,WR,26,12,12,94,52,821,15.79,2,94,146.1,54,2016
55,Chris Hogan\HogaCh00,NWE,WR,29,15,14,58,38,680,17.89,4,91,128.9,55,2016
56,Mohamed Sanu\SanuMo00,ATL,WR,27,15,15,81,59,653,11.07,4,90,148.8,56,2016
57,Tavon Austin\AustTa00,LAR,WR,26,15,15,106,58,509,8.78,4,89,146.8,57,2016
58,Randall Cobb\CobbRa00,GNB,WR,26,13,10,84,60,610,10.17,4,88,148.3,58,2016
59,Travis Benjamin\BenjTr00,SDG,WR,27,14,8,75,47,677,14.4,4,85,132.4,59,2016
60,Jeremy Kerley\KerlJe00,SFO,WR,28,16,13,115,64,667,10.42,3,83,146.7,61,2016
61,Tyler Lockett\LockTy00,SEA,WR,24,15,9,66,41,597,14.56,2,83,124.1,60,2016
62,Michael Floyd\FloyMi00,2TM,WR,27,15,8,76,37,488,13.19,5,81,115.8,63,2016
63,Terrance Williams\WillTe01,DAL,WR,27,16,15,61,44,594,13.5,4,81,125.4,62,2016
